Species,E.micrantha.1,E.micrantha.2,E.micrantha.3,E.micrantha.4,E.micrantha.5,E.micrantha.6,E.micrantha.7,E.micrantha.8,E.micrantha.9,E.micrantha.10,E.micrantha.11,E.micrantha.12,E.micrantha.13,E.micrantha.14,E.micrantha.15
Nodes,7,16,6,12,3,3,3,15,12,34,4,14,10,19,12
Euphrasia_micrantha,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Alchemilla_alpina,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Calluna_vulgaris,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Agrostis_capillaris,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Festuca_ovina,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Galium_saxatile,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0
Erica_tetralix,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1
Digitalis_purpurea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Polygala_vulgaris,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Anthoxanthum_odoratum,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Hypochaeris_radicata,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0
Cryptogramma_crispa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pilosella_officinarum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aira_caryophyllaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Danthonia_decumbens,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0