Unique_ID,Height_end_season,Reproductive_nodes,Main_stem_damaged
A1669,110,30,0
A392,96,11,0
A954,70,11,0
A1994,23,6,0
A1010,45,8,0
A1947,48,5,0
A389,83,9,0
A579,42,3,0
A1121,10,1,0
A900,63,8,0
A811,100,13,0
A35,123,11,0
A394,70,9,0
A431,61,5,0
A1717,10,2,0
A746,115,14,0
A911,126,27,0
A1441,112,20,0
A1559,36,6,0
A1746,168,25,0
A505,146,17,0
A83,15,1,0
A1538,12,1,0
A1509,8,1,0
A942,21,2,0
A629,17,1,0
A895,24,3,0
A1075,13,1,0
A354,50,3,0
A788,25,2,0
A42,23,2,0
A881,27,3,0
A32,19,2,0
A1733,21,1,0
A4346,22,2,0
A1289,20,1,0
A953,86,12,0
A211,40,5,0
A387,60,5,0
A443,114,26,0
A768,135,25,0
A375,204,201,0
A1390,79,17,0
A865,66,9,0
A202,24,2,0
A200,52,12,1
A773,208,137,0
A256,21,1,0
A546,144,19,0
A935,22,3,0
A1158,49,1,0
A447,52,5,0
A113,26,2,0
A102,35,2,0
A762,136,16,0
A81,56,3,0
A548,136,24,0
A716,106,13,0
A377,188,90,0
A1960,114,29,0
A207,72,49,1
A428,81,20,0
A1055,51,9,1
A521,166,18,0
A1068,125,33,0
A915,152,50,0
A208,174,42,0
A586,17,5,0
A1443,251,62,0
A426,94,24,0
A440,85,58,0
A804,100,12,0
A1719,38,6,0
A1527,64,11,0
A621,83,10,0
A1017,96,20,0
A70,154,50,0
A501,104,14,0
A82,92,21,0
A1715,71,6,0
A913,104,21,0
A72,136,36,0
A1064,43,1,0
A922,69,11,0
A1683,12,1,0
A383,23,1,0
A519,42,3,0
A508,46,2,0
A61,44,3,0
A325,50,3,0
A402,31,1,0
A786,32,4,0
A75,68,12,0
A1897,82,19,0
A810,91,11,0
A587,16,2,0
A185,61,5,0
A795,27,2,0
A1894,11,1,0
A1736,51,4,0
A820,32,1,0
A794,28,2,0
A526,78,5,0
A1058,73,10,0
A2034,59,5,0
A702,86,9,0
A422,102,10,0
A1670,143,74,0
A1012,37,1,0
A993,38,5,0
A1408,70,10,0
A1487,62,6,0
A1520,28,5,0
A764,114,10,0
A1950,13,1,0
A766,115,14,0
A182,164,34,0
A547,71,13,0
A1380,60,9,0
A442,55,7,0
A1690,40,2,0
A704,81,10,0
A1474,85,1,0
A1495,21,1,0
A1023,64,7,0
A256,66,4,0
A622,75,7,0
A9432,70,9,0
A865,33,2,0
A205,74,15,0
A833,78,7,0
A399,57,5,0
A545,81,13,0
A824,61,6,0
A741,102,7,0
A1679,82,12,0
A1353,92,27,0
A710,75,5,0
A763,133,11,0
A759,120,12,0
A1462,48,4,0
A1633,56,10,0
A1734,68,6,0
A1066,67,9,1
A372,198,104,0
A1697,41,4,0
A365,185,43,0
A1976,136,20,0
A1302,216,134,0
A771,174,94,0
A778,173,95,0
A981,50,6,0
A979,51,5,0
A1485,165,32,0
A390,118,12,0
A620,181,86,0
A770,158,98,0
A780,165,22,0
A28,153,72,0
A1459,58,6,0
A594,44,6,0
A1743,146,59,0
A1378,104,13,0
A1990,106,14,0
A370,154,27,0
A916,201,30,0
A1642,161,56,0
A597,110,27,0
A1292,131,17,0
A499,76,10,0
A1349,132,16,0
A999,135,15,0
A1938,124,25,0
A1006,140,29,0
A045,128,21,0
A1296,150,30,0
A1728,98,15,0
A1067,115,26,0
A423,93,18,0
A1361,205,86,0
A1634,112,15,0
A1486,45,6,0
A1492,10,1,0
A995,65,5,0
A706,103,9,0
A812,15,3,0
A891,50,11,0
A1300,154,56,0
A1032,6,1,0
A760,87,8,0
A1729,76,8,0
A2049,61,9,0
A897,35,2,0
A406,35,2,0
A564,58,7,0
A874,54,10,0
A536,18,1,0
A403,37,2,0
A1507,23,2,0
A1094,34,1,0
A1681,44,3,0
A724,65,5,0
A1005,180,37,0
A69,144,33,0
A1477,39,6,0
A104,40.4,2,0
A259,44.7,4,0
A1042,9.8,1,0
A1030,34.7,4,0
A261,11,2,0
A1508,19.3,1,0
A1056,74.6,15,0
A1482,120,16,0
A258,18.8,2,0
A1518,33.9,3,0
A1549,68.1,6,0
A111,56.6,6,0
A1077,36.5,2,0
A112,28.6,2,0
A1093,49.8,4,0
A618,107.3,30,0
A1046,56,3,0
A1028,32.6,3,0
A630,12.6,1,0
A1895,28.5,1,0
A444,29.7,2,0
A1674,28.1,3,0
A1083,60.6,5,0
A611,7.5,1,0
A1672,72.3,8,0
A225,126.5,23,0
A1149,18.6,1,0
A1392,39.2,3,0
A1049,27.9,3,0
A627,61.5,8,0
A1517,8.1,1,0
A404,31.1,2,0
A373,45,3,0
A1553,20.1,1,0
A1480,90.5,15,0
A1999,77,7,0
A1898,43,4,0
A1151,28.2,2,0
A1890,14.6,1,0
A1884,32,3,0
A1456,17.4,2,0
A1124,56,7,0
A1512,14.6,1,0
A351,30.1,1,0
A1686,38.8,2,0
A1052,37,2,0
A1514,18.2,1,0
A229,20.3,1,0
A1074,20.4,3,0
A1662,48.8,3,0
A1682,13.4,1,0
A1278,34.1,3,0
A602,13.8,2,0
A1569,48.8,1,0
A1663,55.1,1,0
A1112,NA,11,0
A1565,25.2,3,0
A446,23,2,0
A863,46.7,3,0
A1551,23,2,0
A1504,75.3,9,0
A1127,44.8,3,0
A604,15.6,1,0
A1664,42.8,2,0
A398,71.5,4,0
A1013,26.8,1,0
A94,13.8,1,0
A227,37.5,2,0
A1076,11.7,1,0
A1160,14,1,0
A1687,79.6,9,0
A1476,41.6,2,0
A1054,57.1,6,0
A1465,43.1,2,0
A1675,42.7,3,0
A1150,24,1,0
A1562,12.2,1,0
A100,37.1,4,0
A204,24.4,1,0
A1100,18.5,2,0
A230,39.8,3,0
A1889,57.4,7,0
A1016,87.2,11,0
A1002,12,2,0
A107,10.8,1,0
A1135,15.7,1,0
A1546,25.5,2,0
A1044,94.6,6,0
A409,44.3,4,0
A26,154,13,0
A1692,10.9,1,0
A371,67,4,0
A1092,41,4,0
A245,3,3,0
A1554,61,7,0
A1887,76,9,0
A1908,11,1,0
A1516,13,1,0
A710,49,3,0
A1084,39,2,0
A1498,54,5,0
A1139,35,3,0
A518,111,11,0
A242,-,1,0
A1951,88.9,14,0
A1725,5.7,1,0
A640,22.6,1,0
A619,53.9,7,0
A513,56.6,4,0
A231,20.4,1,0
A623,16,1,0
A237,8.7,2,0
A453,27.4,2,0
A234,44,4,0
A1123,17,1,0
A405,37.2,2,0
A251,12.4,1,0
A224,57.8,2,1
A226,16.9,1,0
A1125,86.4,10,1
A260,81.1,9,0
A1096,23.9,2,0
A445,31.4,1,0
A1561,19.5,2,0
A228,46.3,3,0
A239,53.4,2,1
A1548,56,9,0
A110,24.1,1,1
A1160,-,1,0
A1529,23.6,1,0
A1072,43.2,2,0
A1905,44,5,0
A105,9.4,1,0
A235,14.9,3,0
A1086,61,4,0
A1454,49.7,3,0
A634,83.5,5,0
A1057,77,8,0
A1134,42.8,3,0
A745,12,1,0
A1306,16,1,0
A1310,11,1,0
A738,18,1,0
A1304,16,1,0
A1977,11,1,0
A569,20,1,0
A874,17,1,0
A962,14,1,0
A12,16,2,1
A727,9,1,0
A886,2,3,0
A581,14,1,0
A191,42,2,0
A1346,11,1,0
A1645,15,2,1
A991,29,1,0
A700,15,1,1
A933,21,1,0
A1850,174,62,0
A946,12,18,0
A1342,136,17,0
A1336,42,4,0
A1472,26,1,0
A1473,23,1,0
A352,36,2,0
A1764,28,2,0
A892,33,5,0
A957,90,16,0
A729,9,1,0
A912,39,5,0
A3,14,1,0
A326,43,2,0
A1892,29,1,0
A362,47,3,0
A201,32,1,0
A339,22,1,0
A1015,106,27,0
A1370,16,1,0
A1439,28,3,0
A494,12,1,0
A503,42,5,0
A1510,9,1,0
A1943,32,2,0
A819,18,1,0
A1404,25,1,0
A324,18,1,0
A1,16,1,0
A520,12,1,0
A1451,80,9,0
A562,166,43,0
A30,11,1,0
A1464,4,1,0
A821,31,2,0
A378,126,36,0
A368,59,4,0
A561,112,21,0
A920,100,22,0
A917,188,34,0
A919,110,11,0
A212,43,6,0
A5,13,1,0
A1448,43,6,0
A523,23,2,0
A363,173,20,0
A58,105,26,0
A859,23,1,0
A1440,117,20,0
A20,199,39,0
A585,47,4,0
A825,49,5,0
A772,181,23,0
A783,144,15,0
A393,6,8,0
A522,5,1,0
A350,29,2,0
A1649,22,2,0
A968,23,1,0
A1763,31,5,1
A534,23,1,0
A184,25,6,0
A578,18,1,0
A834,26,2,0
A376,123,66,0
A1859,9,1,0
A732,64,6,0
A1956,42,1,0
A947,44,7,1
A1307,20,1,0
A955,24,3,0
A1376,23,3,0
A495,20,1,0
A27,85,16,0
A357,14,1,0
A1007,26,1,0
A4,50,3,0
A1754,71,6,0
A517,19,1,0
A971,65,13,0
A734,76,6,0
A238,13,1,0
A91,25,2,0
A565,86,18,0
A1863,46,4,0
A1727,32,2,0
A329,84,5,0
A726,71,4,0
A718,85,6,0
A1986,40,3,0
A539,42,2,0
A758,63,8,0
A516,39,2,0
A1320,50,4,0
A856,35,3,0
A846,47,3,0
A1381,34,1,0
A728,43,2,0
A1640,24,2,0
A1945,27,2,0
A490,26,2,0
A885,24,6,0
A2008,17,1,0
A525,36,3,0
A722,11,1,0
A1571,4,1,0
A838,22,1,0
A1401,29,4,0
A1701,8,1,0
A388,19,1,0
A1632,86,9,0
A400,15,1,0
A1338,66,5,0
A40,61,4,0
A740,15,1,0
A1975,196,136,0
A496,142,13,0
A782,202,76,0
A1744,172,91,0
A921,176,50,0
A1563,114,56,0
A904,29,4,0
A223,111,14,0
A393,61,5,0
A774,75,7,0
A860,119,17,0
A807,105,8,0
A1310,106,12,0
A1646,57,10,0
A1391,45,8,0
A358,139,11,0
A1411,52,5,0
A944,51,16,1
A871,68,12,0
A176,66,3,1
A580,53,13,0
A808,23,2,0
A1713,9,1,0
A949,33,7,0
A34,43,2,0
A800,57,5,0
A1315,76,6,0
A908,43,5,0
A371,67,4,0
A1092,41,4,0
A245,33,3,0
A1554,61,7,0
A1887,76,9,0
A1908,11,1,0
A1516,13,1,0
A718,49,3,0
A1084,39,2,0
A1498,54,5,0
A1139,35,3,0
A518,111,11,0
A366,128,10,0
A757,180,17,0
A218,30,3,0
A206,35,2,0
A529,100,8,0
A1855,108,15,0
A1651,82,15,0
A1019,113,90,0
A596,70,9,0
A1085,113,34,0
A1499,13,1,0
A193,57,13,0
A872,70,11,0
A203,72,16,0
A18,159,15,0
A701,120,11,0
A1673,116,18,0
A1680,90,10,0
A1854,55,24,0
A181,143,13,0
A179,100,8,0
A775,110,11,0
A419,52,7,0
A873,80,10,0
A1065,105,32,0
A776,61,6,0
A1857,54,7,0
A588,19,2,0
A1737,85,14,0
A489,75,6,0
A1000,35,5,0
A1747,60,18,0
A882,120,16,0
A1647,70,8,0
A708,115,11,0
A1448,25,2,0
A1862,59,8,0
A388,70,5,0
A1294,130,15,0
A1453,130,23,0
A1505,150,21,0
A1506,90,11,0
A240,91,11,0
A996,123,24,0
A1749,135,26,0
A1481,44,4,0
A220,52,25,0
A1343,90,11,0
A1452,135,15,0
A869,100,24,0
A765,170,16,0
A1299,128,21,0
A532,90,16,0
A2000,60,10,0
A1750,69,11,0
A1293,95,3,0
A1280,82,9,0
A731,105,8,0
A864,45,6,0
A1339,54,5,0
A1327,15,1,0
A1308,29,3,0
A533,56,6,0
A77,30,2,0
A1730,53,4,0
A1891,15,2,0
A1526,46,11,0
A29,31,2,0
A1276,80,7,0
A13,47,4,0
A835,35,2,0
A815,36,2,0
A418,51,6,0
A498,96,7,0
A1130,10,2,0
A709,65,5,0
A1867,79,10,0
A2005,95,11,0
A1708,29,4,0
A1154,10,2,0
A397,70,7,0
A737,94,6,0
A1337,55,7,0
A553,36,6,0
A596,41,9,0
A628,29,1,0
A1330,43,4,0
A1009,30,1,0
A554,40,4,0
A1021,27,2,0
A369,100,11,0
A868,42,5,0
A1331,44,4,0
A1394,38,5,0
A575,40,5,0
A49,87,13,0
A395,51,3,0
A1985,74,10,0
A401,22,1,0
A884,40,6,0
A715,70,10,0
A1860,79,10,0
A880,57,11,0
A2039,35,3,0
A214,34,9,0
A1291,95,14,0
A813,62,4,0
A1341,70,8,0
A434,40,3,0
A500,149,22,0
A1295,12,11,0
A364,170,35,0
A982,26,2,0
A945,90,21,0
A1019,55,5,0
A918,53,6,0
A590,40,4,0
A421,150,23,0
A1478,109,13,0
A452,110,18,0
A914,79,9,0
A1088,30,3,0
A967,74,12,0
A17,155,14,0
A19,129,29,0
A535,45,5,0
A950,25,5,0
A360,40,2,0
A355,35,2,0
A80,90,7,0
A1287,25,1,0
A1312,28,2,0
A36,47,4,0
A33,69,5,0
A801,45,2,0
A68,45,6,0
A1882,100,25,0
A805,75,7,0
A450,88,24,1
A196,76,16,0